Name,Thoughts,City,Visit again?,Location,coordinates
Perk Coffee,"Vibe: 5 / 5
SO CUTE. Really tucked away, kinda hard to find honestly lol. Very cozy, very cute decorations. Honestly looked like a snow cabin with a great view. 

Taste: 5 / 5
The barista recommended the brown sugar latte and OH MY GOD it was so good. Really good balance in texture, really good balance in sweetness where the flavor didn’t overpower the sweetness. Would 100% get again. ",NYC,5 - Would drive many hours to get to this place,"162 E 37th St, New York, NY 10016","{'lat': 40.7476444, 'lon': -73.97731040650478}"
King’s Street Coffee,"Vibe: 5 / 5
SO COZY, So many plants, great decor, people were the friendliest, amazing ambiance to work

Taste: 5 / 5
SUCH smooth coffee, got a hazelnut latte. The taste was great. The Hazelnut was amazing, espresso was really really nice",NYC,4 - Would come again if I’m anywhere in the city,"121 W 30th St, New York, NY 10001","{'lat': 40.747834, 'lon': -73.9906751}"
Sorella Coffee,"Vibe: 5 / 5
Very small place but immaculate vibes. Very cute decor but can only seat like 5 people at a time. But if you get the one cute spot they have it’s SO nice. 

Taste: 5 / 5
Hazelnut latte, amazing. Exactly what I needed at the time. ",NYC,4 - Would come again if I’m anywhere in the city,"145 E 27th St, New York, NY 10016","{'lat': 40.7416112, 'lon': -73.9816611}"
Black Fox Coffee,"Vibe: 4 / 5. The store is small but the surrounding is very cute! Only outdoors so def a very summer vibe. Taste: 5 / 5. Very tasty, espresso came off strong and wasn’t too milky or watery. ",NYC,4 - Would come again if I’m anywhere in the city,"550 Madison Ave
55th & 56th Streets
New York, NY 10022
United States",
St Kilda Coffee,"Vibe: 4 / 5. Shop is in the basement with stairs leading to it. I love the decor, it’s grafittied and has very cute decor in general. 

Taste: 4 / 5. Very god coffee! Perfectly balanced, good foam and taste. ",NYC,4 - Would come again if I’m anywhere in the city,"328 W 44th St, New York, NY 10036","{'lat': 40.75890055, 'lon': -73.99024158572574}"
Le Café Coffee,"Vibe: 4 / 5
I loved the decor of this place. It wasn’t too busy, great vibes, great music choice. The only reason it’s not a 5 is bc they didn’t have a conducive work environment (no wifi, no bathroom) so I couldn’t spend as long as I wanted to here. 

Taste: 4 / 5
Got a lavender latte, REALLY liked the flavor. It was a little too sweet despite getting just 1 pump of lavender. Well prepared, and the barista made me a sweet little flower on top too. ",NYC,3 - Would visit again if I’m in the area,"1440 Broadway, New York, NY 10018","{'lat': 40.7543579, 'lon': -73.9866072}"
PlantShed,"Vibe: 4 / 5
Plants just make the vibe go up so much and this place is also a plant shop so obviously great vibes. Really good location, very calming spot. 

Taste: 4 / 5
Got a latte, really smooth and great taste. Was very balanced sweetness wise despite not getting any flavors or sugar. ",NYC,3 - Would visit again if I’m in the area,"193 2nd Ave, New York, NY 10003",
Devocion,"Vibe: 5 / 5
Brick and mortar decor combined with very classy decor gave this place a very warm and homely feeling. Super cozy and a great place to get work done

Taste: 5 / 5
Got a Cortado, super bold and rich tasting and it came through really nicely. Will credit this place for making me a cortado person. ",NYC,3 - Would visit again if I’m in the area,"25 E 20th St, New York, NY 10003","{'lat': 40.7373094, 'lon': -73.9856409}"
10000 Coffee,"Vibe: 3 / 5
Pretty solid location but had no chargers or wifi. Generic coffee shop decor which I can’t complain about, but really had a hard time stopping by here to work. 

Taste: 5 / 5
Got an espresso matcha latte which was phenomenal. Had never had that combination before but it was so so good. The drink had layers and each tasted very good but once combined it was magical and I don’t think I can go back to normal matcha lattes ever.",NYC,3 - Would visit again if I’m in the area,"1410 Broadway Unit 105, New York, NY 10018",
Cafe Atelier,"Vibe: 4 / 5. Very cute setup, great soft music and a great place to get work done. This is also a flower shop which is quite calming as you work. 
Taste: 4 / 5. Good bold espresso taste which I enjoyed. ",NYC,3 - Would visit again if I’m in the area,"112 Hudson St, New York, NY 10013","{'lat': 40.719582, 'lon': -74.0084712}"
Zibetto Espresso Bar,"Vibe: 4 / 5. Def more of a summertime shop with only outside seating. Otherwise p small interior but very cute, feels very curated (people were wearing gloves and stuff while making espresso). Taste: 4 / 5. Very smooth but still very tasteful. Good espresso m",NYC,3 - Would visit again if I’m in the area,"1385 Sixth Ave 56th St
New York, NY 10019
United States",
Gregory’s Coffee,"Vibe: 3 / 5
Solid location, nice decor and I loved that plant wall with the logo on it. Feels a little cramped with the seating. 

Taste: 4 / 5 
Got a double espresso, really liked the taste. Espressos are usually not my go to but I enjoyed this one. Would get again. ",NYC,2 - Would stop by if I stumble upon this place again,"356 7th Avenue, New York, NY 10001","{'lat': 40.74838855, 'lon': -73.99288198691659}"
La Cabra,"Vibe: 2 / 5
Vibes felt off ever since I walked in, the barista didn’t respond to me saying hello or anything. Didn’t feel cozy or personable really, though really liked talking to the person that brought my coffee out. It also felt a little too boujee for my taste. 

Taste: 5 / 5
Got a matcha latte, which was really tasty. Didn’t feel too sweet or too bland, good taste and great consistency. Didn’t have to see anything. ",NYC,2 - Would stop by if I stumble upon this place again,"152 2nd Ave, New York, NY 10003","{'lat': 40.7294406, 'lon': -73.9868186}"
787 Coffee,"Vibe: 4 / 5 
Super cute shop! Nestled away in a corner, super cozy. Had great lighting, really cool “in caffeinated people we trust” sign and art around the shop. 

Taste: 3 / 5: 
Got a hazelnut latte but the hazelnut was overpowered. Personally don’t mind that but felt like a waste of money to get the flavor. Overall the latte was smooth, foam was pretty creamy but the rest of the latte felt a little watered down.",NYC,2 - Would stop by if I stumble upon this place again,"256 W 15th St New York, NY 10011","{'lat': 40.740124, 'lon': -74.0014925}"
Felix Roasting Co,"Vibe: 4 / 5
Super fancy vibes from this place, seemed like somewhere business meetings happen for sure. The counter was in the middle and was closer to a coffee bar which was pretty good. Pretty solid place to work, especially if you get one of the good seats. 

Taste: 4 / 5
Got an iced latte on this particularly hot day, and it delivered! I asked for less ice but there was a little too much which watered it down eventually, but no complaints on the quality and balance of the drink itself.",NYC,2 - Would stop by if I stumble upon this place again,"450 Park Ave S, New York, NY 10016","{'lat': 40.7449381, 'lon': -73.9831337}"
Gotan,"Vibe: 3 / 5. This is a super solid work spot with outlets and the vibe but they didn’t have wifi. They have a great setup so I think they expect people to be working but no wifi sours it a little bit. 
Taste: 3 / 5. Got a cappuccino - little too acidic which spoils the taste a little bit. ",NYC,2 - Would stop by if I stumble upon this place again,"130 Franklin St, New York, NY 10013","{'lat': 40.7191997, 'lon': -74.0066161}"
Vineapple ,"Vibe: 4 / 5. Corner store vibes, small cozy entryway but expands into a bigger seating section. Brick and mortar, which is always nice vibes. Taste: 4 / 5. Devocion beans, and coffee was well made! Espresso was acidic but was nicely balanced by the milk",NYC,2 - Would stop by if I stumble upon this place again,"71 Pineapple St, Brooklyn, NY 11201","{'lat': 40.6983292, 'lon': -73.99305105529417}"
Telegraphe Cafe,"Vibe: 4 / 5. It was super cute, they had covered outdoor seating. Indoor seating was a little crammed, but I loved the decor. Taste: 2 / 5. The coffee was pretty diluted, didn’t quite taste the espresso at all. ",NYC,2 - Would stop by if I stumble upon this place again,"107 W 18th St, New York, NY 10011","{'lat': 40.740144, 'lon': -73.9954341}"
Vanilla Gorilla Coffee,"Vibe: 2 / 5
It’s a little too busy being right off a very busy street. Didn’t really like the vibe of the person taking our order, had some weird interactions in the span of 3 minutes. Decor is nice, good working space generally with a bunch of outlets. 

Taste: 3 / 5
Pretty standard latte, nothing really stood out. Little too cold even though I asked for it extra hot like I usually do. Good balance of creaminess and good consistency. ",NYC,1 - Would not visit again,"332 W 44th St, New York, NY 10036","{'lat': 40.7590451, 'lon': -73.9903243}"
Fulcrum Cafe,"Vibe: 4 / 5: Super nice spot! Nice outdoor seating and indoor had good work spots. Taste: 5 / 5: Got the pistachio cream, LOVED it. Super tasty, a little expensive but it’s a tasty treat in that way.",Seattle,3 - Would visit again if I’m in the area,"590 Bell St, Seattle, WA 98121","{'lat': 47.616642, 'lon': -122.342594}"
Himalayan Java Coffee,"Vibe: 5 / 5. Super nice spot, not crowded, had some outdoor seating. Taste: 4 / 5. Another one of those treat coffee places, once in a month but I had their white chocolate latte and it was quite fire. ",Seattle,3 - Would visit again if I’m in the area,"2502 6th Ave, Seattle, WA 98121","{'lat': 47.6182326, 'lon': -122.344458}"
Grumpy Bean coffee,"Vibe: 4 / 5. Modern decor that I really like! Located on a cute little corner. Enough seating space which honestly could be utilized better but pretty good place to work or just chill. 
Taste: 3 / 5. Pretty good latte but the flavor was too dominated by milk. Good foam, but would’ve liked it to be a little stronger. ",Seattle,3 - Would visit again if I’m in the area,"910 Stewart St, Seattle, WA 98101","{'lat': 47.6159434, 'lon': -122.3343805}"
Elliot Bay Book Co,"Vibe: 5 / 5. Nestled in the back of a book store, very cozy and very cute. Taste: 3 / 5. The latte was a little diluted, but tasted nice. ",Seattle,3 - Would visit again if I’m in the area,"1521 10th Ave.
Seattle WA, 98122
United States","{'lat': 47.6147526, 'lon': -122.319957}"
Hood Famous,"Vibe: 4 / 5. I like the setup, it was a coffee bar with cute christmas decor. Taste: 4 / 5. Got a cortado, which was pretty tasty ",Seattle,3 - Would visit again if I’m in the area,"504 5th Ave S
Unit 107A
Seattle, WA 98104
United States",
Artly Coffee,"Vibe: 2 / 5. 
This was small and not someplace I would stop to work while I drink my coffee. Felt barren and very robotic (bc it literally was) 

Taste: 5 / 5.
The coffee was actually great. Tasted fantastic, latte felt very much like a latte, everything blended together perfectly. ",Seattle,2 - Would stop by if I stumble upon this place again,"101 Stewart St STE 102, Seattle, WA 98101",
Farine Cafe,"Vibe: 4 / 5: Good vibes, nice outdoor seating area. People were super nice. Taste: 3 / 5. Well made, nothing special though. Good taste and standard latte! ",Seattle,2 - Would stop by if I stumble upon this place again,"11194 NE 10th St, Bellevue, WA 98004","{'lat': 47.6195371, 'lon': -122.1913429}"
Umbria Cafe,"Vibe: 4 / 5. Solid work spot. Would come here on a work meeting. Taste: 3 / 5. Expected a lil more given that their branding was all about coffee roasting, but decent coffee nonetheless. ",Seattle,2 - Would stop by if I stumble upon this place again,"622 Olive Way, Seattle, WA 98101","{'lat': 47.6135839, 'lon': -122.3355284}"
